type,room_id,sender,origin_server_ts,event_id,user_id,content.org.matrix.msc1767.text,content.body,content.msgtype,content.info.size,content.file.v,content.file.key.alg,content.file.key.ext,content.file.key.k,content.file.key.key_ops,content.file.key.kty,content.file.iv,content.file.hashes.sha256,content.file.url,content.to,content.from_device,content.methods,content.format,content.formatted_body,content.m.relates_to.m.in_reply_to.event_id,content.info.mimetype,content.info.w,content.info.h,content.info.xyz.amorgan.blurhash,content.info.thumbnail_info.w,content.info.thumbnail_info.h,content.info.thumbnail_info.mimetype,content.info.thumbnail_info.size,content.info.thumbnail_file.v,content.info.thumbnail_file.key.alg,content.info.thumbnail_file.key.ext,content.info.thumbnail_file.key.k,content.info.thumbnail_file.key.key_ops,content.info.thumbnail_file.key.kty,content.info.thumbnail_file.iv,content.info.thumbnail_file.hashes.sha256,content.info.thumbnail_file.url,content.info.thumbnail_file.mimetype,content.file.mimetype,content.org.matrix.msc1767.message,timestamp_utc,content.body_translated,content.org.matrix.msc1767.text_translated
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@felix:matrix.osolomko.com,1650615019614,$QNe-xjCLPrg-9pD0VnZZQlidKIu4buqjr5A470VsdIo,@felix:matrix.osolomko.com,"Привет. Скинь пжста последнее что протестить нужно, я про бота","Привет. Скинь пжста последнее что протестить нужно, я про бота",m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-22 02:10:19,"Hello. Throw off the last thing you need to test, I'm talking about bot","Hello. Throw off the last thing you need to test, I'm talking about bot"
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1650622915951,$5437E_S74xK5UMynWXZ1iD5tiqXrAXfXOQhJOvS0vQg,@stealer:matrix.osolomko.com,,2t.7z,m.file,134063.0,v2,A256CTR,True,M79EwK9apLCnVZwHwSGHQ3CB3E7cHCT62RfZ6mkys0c,"['encrypt', 'decrypt']",oct,v/kfxuxrVKwAAAAAAAAAAA,GTSWuY0BpmoAyaK00u+BkNtMaJ06a6UhbB7MOiI1x2Y,mxc://matrix.osolomko.com/qGQlnZXCwXLSHqwCSzQwifpU,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-22 04:21:55,2T.7Z,
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1650622921227,$dv5xnHbbMr3ZwL4a22HXChqan8eH1o62PNiIfygiaXo,@stealer:matrix.osolomko.com,привет,привет,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-22 04:22:01,Hey,Hey
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1650667518295,$5IiPZQ3qcLDzvu_RuMhmmDzg7_1sH9LGBZMYJ4l5eRk,@stealer:matrix.osolomko.com,,"@stealer:matrix.osolomko.com is requesting to verify your key, but your client does not support in-chat key verification.  You will need to use legacy key verification to verify keys.",m.key.verification.request,,,,,,,,,,,@felix:matrix.osolomko.com,JHRAWYRIQN,"['m.sas.v1', 'm.qr_code.show.v1', 'm.reciprocate.v1']",,,,,,,,,,,,,,,,,,,,,,,,2022-04-22 16:45:18,"@stealer: Matrix.osolomko.com Is Requesting to verify your key, but your client soups not-chart key verification. You Will Need To Use Legacy Key Verification to Verify Keys.",
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1650667656683,$iOrlpm8dfuBbtPBipk_KFKcJv1RD1ft8-lfRS-6N-cI,@stealer:matrix.osolomko.com,,"@stealer:matrix.osolomko.com is requesting to verify your key, but your client does not support in-chat key verification.  You will need to use legacy key verification to verify keys.",m.key.verification.request,,,,,,,,,,,@felix:matrix.osolomko.com,JHRAWYRIQN,"['m.sas.v1', 'm.qr_code.show.v1', 'm.reciprocate.v1']",,,,,,,,,,,,,,,,,,,,,,,,2022-04-22 16:47:36,"@stealer: Matrix.osolomko.com Is Requesting to verify your key, but your client soups not-chart key verification. You Will Need To Use Legacy Key Verification to Verify Keys.",
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1650667798506,$9YLSpknbdXFAwb9PZcqinb4sET6dhYpvIur40WRVoV0,@stealer:matrix.osolomko.com,,"@stealer:matrix.osolomko.com is requesting to verify your key, but your client does not support in-chat key verification.  You will need to use legacy key verification to verify keys.",m.key.verification.request,,,,,,,,,,,@felix:matrix.osolomko.com,JHRAWYRIQN,"['m.sas.v1', 'm.qr_code.show.v1', 'm.reciprocate.v1']",,,,,,,,,,,,,,,,,,,,,,,,2022-04-22 16:49:58,"@stealer: Matrix.osolomko.com Is Requesting to verify your key, but your client soups not-chart key verification. You Will Need To Use Legacy Key Verification to Verify Keys.",
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@felix:matrix.osolomko.com,1650699259583,$E-CgsIDzGpJ1bvYbWPIbuiQU39F_MrIhK4Q-zYUTJiI,@felix:matrix.osolomko.com,"бро, не было на месте","бро, не было на месте",m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-23 01:34:19,"Bro, was not in place","Bro, was not in place"
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@felix:matrix.osolomko.com,1650699262657,$p7EZSvL26Icj1wdlucE531pGUZgQrXPHEw57L--OLdU,@felix:matrix.osolomko.com,сегодня сделаю тесты,сегодня сделаю тесты,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-23 01:34:22,I'll make tests today,I'll make tests today
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1650699572979,$ieJfMt9FqUbmUILeeCAA65pLorY-wEdK0gR6T6K-J-o,@stealer:matrix.osolomko.com,ок,ок,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-23 01:39:32,OK,OK
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@felix:matrix.osolomko.com,1650699696390,$adkUzmEUsa-H5A_YZNPaelT9NDeQsR4s4aU4pTDcX0g,@felix:matrix.osolomko.com,"такс, а что мне тестить? ","такс, а что мне тестить? ",m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-23 01:41:36,"Dachshund, what should I test?","Dachshund, what should I test?"
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@felix:matrix.osolomko.com,1650699702894,$XefSFslfduCdVT36PdqM6etpF9-BiCfP7EeCOP-DQmw,@felix:matrix.osolomko.com,самого бота я еще с вин32 тестил,самого бота я еще с вин32 тестил,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-23 01:41:42,I still tested the bot with wines32,I still tested the bot with wines32
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1650699712724,$gn3ZHzVGSeeZaAoCPL69k5ARzwf90Y-6z7D7cRZZbwY,@stealer:matrix.osolomko.com,а норм,а норм,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-23 01:41:52,And the norm,And the norm
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@stealer:matrix.osolomko.com,1650699724840,$1ey7qPzLd0un9r6SYlrwiIYPeJjItrIf6_Z0GfLaYaE,@stealer:matrix.osolomko.com,тебе писал матанбучус?,тебе писал матанбучус?,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-23 01:42:04,Matanbuchus wrote to you?,Matanbuchus wrote to you?
m.room.message,!AzAXCgWMyzfvKDETnR:matrix.osolomko.com,@felix:matrix.osolomko.com,1650699724920,$ups21CxCgKCMzZrCxc6gbuOunP8v7kdt7PP-lN0ONVM,@felix:matrix.osolomko.com,я подымал локальный домен с пхп и sql,я подымал локальный домен с пхп и sql,m.text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-23 01:42:04,I raised a local domain with PHP and SQL,I raised a local domain with PHP and SQL
